13670916,70056,12
2302965,74440,2
13431951,70316,12
6968941,74716,6
4624291,69452,4
3360822,73928,3
9203206,69484,8
12422635,73948,11
13597743,70076,12
1079,74276,0
10437695,70372,9
4436995,74652,4
2568468,69356,2
6624018,73992,6
4694984,69996,4
4622170,74328,4
1203099,68956,1
1071360,73240,1
13434936,70028,12
1253,74228,0
2482079,69660,2
5681589,74440,5
13642328,70316,12
4766953,74700,4
1279679,69044,1
1078590,73328,1
2405980,69648,2
2267154,74028,2
7273946,69856,6
2246891,74220,2
1310875,68564,1
1079850,72848,1
1229153,68260,1
1069897,72544,1
1261939,68816,1
1213753,73100,1
4633798,69756,4
4493083,74280,4
4834688,69976,4
6876366,74612,6
9270090,69988,8
13624723,74596,12
11448799,70084,10
9111461,74572,8
13378944,69148,12
13455761,73432,12
2477747,69572,2
13364197,74580,12
1196290,68520,1
1075773,72804,1
9432564,69216,8
13925541,73728,12
4739443,69980,4
7009291,74616,6
10633261,70084,9
4759563,74412,4
2615915,69756,2
10376923,74428,9
6016155,69808,5
2303823,74124,2
4728088,69804,4
4535905,74232,4
7328958,70084,6
13742907,74644,12
7099587,69948,6
3422822,74312,3
13959885,69692,12
4763281,74076,4
2657740,69696,2
2271666,74028,2
14049252,70148,12
5019126,74532,4
9349263,70128,8
11036136,74736,9
7169464,70092,6
6796161,74712,6
9729409,70060,8
5859743,74392,5
14086458,70152,12
13828551,74436,12
7086586,69856,6
9614081,74668,8
3595556,69404,3
7078937,73944,6
9686807,70192,8
2299484,74460,2
9506898,70100,8
14166057,74516,12
14083656,69964,12
2969,74164,0
2609328,69756,2
4636681,74232,4
5103610,69956,4
7074767,74592,6
14126693,70376,12
9649939,74824,8
4905791,69720,4
14039362,74488,12
2409042,69552,2
4654696,74076,4
6094063,69868,5
13886840,74716,12
4708950,69508,4
3363525,73984,3
9501873,69856,8
14222755,74464,12
13878986,70184,12
2497341,74568,2
9641898,70232,8
3434276,74500,3
12122377,70084,10
2445199,74316,2
5941052,69456,5
13670008,73920,12
4890673,69656,4
10090647,74136,9
