23981173,70152,21
2411906,74472,2
24955584,70564,22
7095163,74748,6
4831601,69388,4
3442116,73864,3
9258956,69420,8
12325819,73884,11
28755475,70564,25
6382,74700,0
10410548,70308,9
4515906,74588,4
2525927,69292,2
6705566,73928,6
4701073,69932,4
4522278,74264,4
1268806,68892,1
1072274,73176,1
17362937,70260,15
1548,74460,0
2569729,69596,2
5693752,74376,5
20811366,70564,18
4537588,74732,4
1318510,68980,1
1218949,73264,1
2508974,69584,2
2293989,73964,2
7202599,69792,6
2420614,74156,2
1215044,68500,1
1222648,72784,1
1293792,68196,1
1065728,72480,1
1283501,68752,1
1071214,73036,1
4866070,69692,4
4566227,74216,4
4621507,69912,4
7032507,74548,6
9269356,69924,8
15646293,74628,14
11403412,70020,10
9231701,74508,8
16372310,69132,14
13430617,73568,12
2570174,69508,2
17710944,74564,15
1254638,68456,1
1069721,72740,1
9262868,69152,8
18165685,73760,16
4836319,69916,4
6985912,74552,6
10440637,70020,9
4684352,74348,4
2526596,69692,2
10353566,74364,9
6257421,69744,5
2238951,74060,2
4952762,69740,4
4536177,74168,4
7200396,70020,6
26230203,74788,23
7000754,69884,6
3523089,74248,3
20909510,69788,18
4561951,74108,4
2542213,69632,2
2499667,73964,2
14001494,70236,12
4767498,74468,4
9471591,70064,8
10359130,74672,9
7227809,70028,6
6736741,74648,6
9554108,69996,8
6004388,74328,5
23380766,70400,20
26895073,74684,23
7229204,69792,6
9739013,74604,8
3642927,69340,3
7032625,73880,6
9493398,70128,8
2409864,74396,2
9321061,70036,8
26941616,74708,23
25972795,70156,22
1618,74292,0
2583468,69692,2
4748294,74168,4
4912383,69892,4
7106347,74528,6
26043271,70624,22
9263233,74808,8
4994584,69656,4
18429605,74568,16
2561983,69488,2
4647479,74012,4
5979250,69804,5
22339833,74908,20
4683009,69444,4
3393801,73920,3
9322865,69792,8
24558190,74608,22
22782814,70624,20
2239916,74792,2
9277830,70168,8
3379868,74436,3
11464289,70020,10
2431691,74252,2
5712553,69392,5
17907866,73904,16
4656321,69592,4
9981441,74068,9
