6704370,82864,5
105936122,96080,81
29108753,80440,23
29103993,84724,23
41206106,88048,32
118420981,97108,91
119653575,92872,92
7519754,96672,6
10527318,84208,8
112456897,97108,86
34099851,85900,26
74199035,94600,57
30394682,86488,23
77533215,96852,59
88551062,91248,68
61580529,95288,47
53163432,90328,41
26102443,94484,20
82261205,91576,62
20896339,95668,16
98228060,92332,74
109920144,96628,85
81096219,92244,62
61735764,96540,48
50313762,89424,38
20773741,93540,16
112997422,90312,86
44679687,94492,34
33331755,86764,25
79300077,95776,60
85203479,92556,64
45564732,96840,35
1272967,78164,1
1236193,82448,1
122391894,92812,92
63589714,96852,49
44138967,88512,33
19773478,92628,15
95415734,92904,72
55643835,96944,43
114131192,92812,86
101463919,97108,78
57524694,90640,43
2887547,94680,2
45308918,83988,34
52630023,88712,40
106862379,92812,80
119970248,97108,91
83514898,92556,61
40517905,96712,32
112619223,92812,84
121309112,97108,92
60462180,91204,45
95767519,97108,72
4340980,82940,3
65795261,96124,47
120046640,92812,89
99239157,97108,74
1325252,79528,1
2310,83724,0
44136090,88592,33
69318567,95708,52
104423468,92812,78
10754514,96616,8
80120684,87304,60
91942256,91856,70
